Iteration 1, loss = 1.72123688
Iteration 2, loss = 0.41317328
Iteration 3, loss = 0.41107606
Iteration 4, loss = 0.41067973
Iteration 5, loss = 0.41046165
Iteration 6, loss = 0.41019725
Iteration 7, loss = 0.40973475
Iteration 8, loss = 0.40943579
Iteration 9, loss = 0.40982960
Iteration 10, loss = 0.40944067
Iteration 11, loss = 0.40918538
Iteration 12, loss = 0.40876298
Iteration 13, loss = 0.40882355
Iteration 14, loss = 0.40885668
Iteration 15, loss = 0.40869807
Iteration 16, loss = 0.40879107
Iteration 17, loss = 0.40853170
Iteration 18, loss = 0.40867314
Iteration 19, loss = 0.40806206
Iteration 20, loss = 0.40862604
Iteration 21, loss = 0.40871299
Iteration 22, loss = 0.40858934
Iteration 23, loss = 0.40838018
Iteration 24, loss = 0.40823621
Iteration 25, loss = 0.40838554
Iteration 26, loss = 0.40841998
Iteration 27, loss = 0.40825096
Iteration 28, loss = 0.40826939
Iteration 29, loss = 0.40824338
Iteration 30, loss = 0.40804771
