Iteration 1, loss = 2.67815660
Iteration 2, loss = 0.40851725
Iteration 3, loss = 0.36591617
Iteration 4, loss = 0.29533798
Iteration 5, loss = 0.21387182
Iteration 6, loss = 0.14664664
Iteration 7, loss = 0.11937354
Iteration 8, loss = 0.09175654
Iteration 9, loss = 0.07853471
Iteration 10, loss = 0.05527762
Iteration 11, loss = 0.04338911
Iteration 12, loss = 0.03922152
Iteration 13, loss = 0.03043983
Iteration 14, loss = 0.03547498
Iteration 15, loss = 0.03007705
Iteration 16, loss = 0.02533128
Iteration 17, loss = 0.02100183
Iteration 18, loss = 0.01552406
Iteration 19, loss = 0.01337986
Iteration 20, loss = 0.01860343
Iteration 21, loss = 0.02096196
Iteration 22, loss = 0.01206454
Iteration 23, loss = 0.01291826
Iteration 24, loss = 0.00976447
Iteration 25, loss = 0.01205402
Iteration 26, loss = 0.01524568
Iteration 27, loss = 0.01034011
Iteration 28, loss = 0.01156464
Iteration 29, loss = 0.00606947
Iteration 30, loss = 0.00602676
Iteration 31, loss = 0.00618564
Iteration 32, loss = 0.00663147
Iteration 33, loss = 0.00719728
Iteration 34, loss = 0.00738497
Iteration 35, loss = 0.00811337
Iteration 36, loss = 0.01568462
Iteration 37, loss = 0.01568260
Iteration 38, loss = 0.01061123
Iteration 39, loss = 0.00583551
Iteration 40, loss = 0.00673124
Iteration 41, loss = 0.00504116
Iteration 42, loss = 0.00491580
Iteration 43, loss = 0.00457408
Iteration 44, loss = 0.00396481
Iteration 45, loss = 0.00476034
Iteration 46, loss = 0.00728345
Iteration 47, loss = 0.00578503
Iteration 48, loss = 0.00488686
Iteration 49, loss = 0.00749697
Iteration 50, loss = 0.00590270
Iteration 51, loss = 0.00343875
Iteration 52, loss = 0.00307387
Iteration 53, loss = 0.00489113
Iteration 54, loss = 0.00492321
Iteration 55, loss = 0.00400738
Iteration 56, loss = 0.00799799
Iteration 57, loss = 0.00411470
Iteration 58, loss = 0.00258323
Iteration 59, loss = 0.00218340
Iteration 60, loss = 0.00182054
Iteration 61, loss = 0.00218545
Iteration 62, loss = 0.00776202
Iteration 63, loss = 0.01328644
Iteration 64, loss = 0.01098921
Iteration 65, loss = 0.00742843
Iteration 66, loss = 0.00491859
Iteration 67, loss = 0.00294758
Iteration 68, loss = 0.00248118
Iteration 69, loss = 0.00242891
Iteration 70, loss = 0.00209571
Iteration 71, loss = 0.00188535
