Iteration 1, loss = 44.79435693
Iteration 2, loss = 0.95469785
Iteration 3, loss = 0.38213557
Iteration 4, loss = 0.24255375
Iteration 5, loss = 0.16926289
Iteration 6, loss = 0.12555367
Iteration 7, loss = 0.09586294
Iteration 8, loss = 0.07411696
Iteration 9, loss = 0.05920546
Iteration 10, loss = 0.04755557
Iteration 11, loss = 0.04061775
Iteration 12, loss = 0.03477295
Iteration 13, loss = 0.03030338
Iteration 14, loss = 0.02725095
Iteration 15, loss = 0.02589336
Iteration 16, loss = 0.02357080
Iteration 17, loss = 0.02162344
Iteration 18, loss = 0.02123327
Iteration 19, loss = 0.02072799
Iteration 20, loss = 0.02292016
Iteration 21, loss = 0.02660895
Iteration 22, loss = 0.03139080
Iteration 23, loss = 0.03329986
Iteration 24, loss = 0.03767575
Iteration 25, loss = 0.03211833
Iteration 26, loss = 0.03198892
Iteration 27, loss = 0.05057300
Iteration 28, loss = 0.08085987
Iteration 29, loss = 0.06189374
Iteration 30, loss = 0.05492284
